Time,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
0,0.699,1.01,1.537,1.173,2.001
5,0.854,1.175,1.69,1.326,2.151
10,1.033,1.321,1.849,1.494,2.304
15,1.192,1.471,2.011,1.646,2.453
20,1.354,1.513,2.161,1.817,2.615
25,1.515,1.777,2.317,1.963,2.766
30,1.671,1.931,2.466,2.122,2.916
35,1.828,2.092,2.625,2.275,3.059
40,1.996,2.159,2.776,2.428,3.227
45,2.144,2.394,2.921,2.858,3.37
50,2.292,2.54,3.077,2.733,3.516
55,2.445,2.685,3.229,2.895,3.672
60,2.531,2.85,3.376,3.045,3.811
65,2.745,2.997,3.535,3.195,3.957
70,2.906,3.134,3.673,3.353,4.11
75,3.057,3.275,3.831,3.598,4.261
80,3.208,3.437,3.975,3.653,4.409
85,3.365,3.571,4.133,3.808,4.554
90,3.517,3.731,4.277,3.964,4.701
95,3.664,3.875,4.421,4.111,4.855
100,3.816,4.025,4.578,4.276,4.992
105,3.967,4.176,4.729,4.416,5.149
110,4.114,4.32,4.877,4.571,5.287
115,4.256,4.473,5.03,4.716,5.444
120,4.41,4.611,5.174,4.871,5.589
